trial,traded,breadth_gate,consensus_k,conviction_sizing,dd_sizer,edge_monitor,enter,exit_,feargreed,fng_min,horserace,hurst_gate,martingale,max_positions,meta_margin,micro_gate,min_age_days,min_hold,mom_gate,money_kelly,money_model,money_pyramid,position_fraction,regime_deploy,regime_persist,scale_enter,scale_in,stop_loss,sweep,trail_stop,tree_weight,trend_soft,vol_floor,vol_scale,profit_2018,profit_2019,profit_2020,profit_2021,profit_2022,profit_2023,profit_2024,profit_2025,fit_score,heldout_score,worst_drawdown,trades
10,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.04042595938559595,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.0,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.7868401853301301,0.3621208482984697,0.7021726644667055,39.37337937394325,0.07328748327694812,0.2732180168068856,0.5549311600181639,-0.01184266453067595,0.267564,0.165348,0.18874201491561926,3694
11,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.034589555277557214,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.7868401853301301,0.5278740448502963,0.6709564228062879,27.44866569887876,0.14659002836334278,0.07207047177731152,0.09510696652267048,0.05815530701027449,0.244618,0.084352,0.18874201491561926,2483
12,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,116.66922714518415,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.9158614682510415,0.6034576466946979,1.3547439279417688,99.20107393028673,0.10674076005531119,0.29007033207729926,0.7300013870404096,-0.09736261917937417,0.2769,0.120737,0.2195154249774136,3694
13,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.36169237722826597,0.0,1.7868401853301301,0.5278740448502963,1.2779956115094224,100.80233202885223,0.11915724447718157,0.30114624956861635,0.7589589664851097,-0.01492365342888513,0.28037,0.162113,0.21963868182474078,3694
14,yes,0.3,1,0.0,0.0,0.0,0.75,0.3429998781748194,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.8392580814364892,0.17456575422913745,0.9947157301887706,105.52260943563154,0.0803996026106577,0.3678122969735327,0.641878860527449,0.077733698903371,0.252846,0.210348,0.20663768537824956,4086
15,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.6570035892082636,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.9840554664896994,0.0,2.4513901451629763,0.5990909569037928,1.6737512378106452,186.79318898213833,0.15405796741480526,0.3858635016525367,0.978425281495545,-0.034696457080344856,0.273549,0.094022,0.27647495423569324,3694
16,yes,0.3,1,0.0,0.0,0.8558452638243507,0.75,0.25,0.0,0.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.7896607998482437,0.5084234027842369,1.2339339122516395,101.44670438074223,0.11640578106211419,0.30891200192424706,0.7671857238926261,-0.03705606721642496,0.279692,0.151019,0.21493683963404397,3916
17,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.0,0,0.15245897726248755,0.0,0.12,0.8582445908459617,0.0,0.4,0.0,1.8548843075819983,0.5648302427771967,1.107376225872109,8.591493736392708,-0.021490560158237026,0.11108293724803664,0.3428237363011746,-0.05693469844769827,0.223892,0.135012,0.1911551933435892,2621
18,yes,0.3,1,0.0,0.0,0.0,0.75,0.15547326320283766,0.0,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.9754688805463386,0.0,0.0,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,4.087696519549784,0.9035491666834434,3.089149582145657,335.6755409162014,0.27774238339518575,0.8246242923970628,1.638527466868224,-0.06559117550580151,0.224028,0.013102,0.3385808504789166,3136
19,yes,0.3,1,0.0,0.0,0.0,0.75,0.25,0.2939929532618033,25.0,0.0,0.0,0.0,2,0.005,0.0,0.0,16,0.0,0.0,0.5,0.0,0.15,0.5,0.0,0.9331994303696058,0,0.08,0.0,0.12,0.0,0.0,0.4,0.0,1.7777006693024644,0.49290420474560226,1.2132415824081852,74.98464045860166,0.11446201885291685,0.2842370780361534,0.6626960633018089,-0.02544097782699173,0.276778,0.156754,0.2050747434637442,3694
